_id,IBMS Address,Address of Existing Rental Building,RH File Number,(Post 2018) Ward,City Council Approval Date,Link to Staff Report,Type,Total Rental Homes for Demolition,Affordable Rental Homes for Demolition,Mid-Range Rental Homes for Demolition,High-End Rental Homes for Demolition,Total Rental Homes Replaced,Affordable Rental Homes Replaced,Mid-Range Rental Homes Replaced,High-End Rental Homes Replaced
1,75 MUTUAL ST,"75, 77, 83 MUTUAL ST",14 183555 STE 27 RH,27,2017-01-31,Final Staff Report,Demolition - 6 Rental Units or More,22,NA,NA,NA,22,21,1,NA
2,1996 BATHURST ST,"1996, 1998 and 2000 Bathurst Street",15 270570 STE 21 RH,12,2017-03-09,Final Staff Report,Demolition - 6 Rental Units or More,62,61,1,NA,62,61,1,NA
3,125 PARLIAMENT ST,125 Parliament Street and 50 Power Street,13 181698 STE 28 RH,13,2017-05-24,Final Staff Report,Demolition - 6 Rental Units or More,15,12,3,NA,15,12,3,NA
4,480 YONGE ST,"3 Grosvenor Street (492-494 Yonge Street), 484-488 Yonge Street, 480-482 Yonge Street",14 267359 STE 27 RH,13,2017-05-24,Final Staff Report,Demolition - 6 Rental Units or More,26,15,6,5,26,15,6,5
5,30 ERSKINE AVE,30 Erskine Avenue,13 116882 NNY 25 RH,15,2017-07-04,Final Staff Report,Demolition - 6 Rental Units or More,6,NA,6,NA,6,NA,6,NA
6,59 MUTUAL ST,"59, 63, 65, 67, 69 and 71 Mutual Street",16 101809 STE 27 RH,13,2017-07-04,Final Staff Report,Demolition - 6 Rental Units or More,12,7,4,1,12,7,4,1
7,703 SOUDAN AVE,"1674 Bayview Avenue, 703 and 707 Soudan Avenue, and 1680, 1682 and 1684 Bayview Avenue",14 227490 STE 22 RH,15,2017-07-04,Final Staff Report,Demolition - 6 Rental Units or More,38,14,21,3,38,14,21,3
8,40 MOCCASIN TRL,"50 and 60 Green Belt Drive, and 40 Moccasin Trail",13 173075 NNY 34 RH,16,2017-07-04,Final Staff Report,Demolition - 6 Rental Units or More,83,59,24,NA,67,43,24,NA
9,2525 BATHURST ST,2525 Bathurst Street,16 152046 NNY 16 RH,8,2017-10-02,Final Staff Report,Demolition - 6 Rental Units or More,33,6,26,1,33,6,26,1
10,650 KINGSTON RD,650-652 Kingston Road and 2 Main Street,15 215445 STE 32 RH,19,2017-11-07,Final Staff Report,Demolition - 6 Rental Units or More,11,7,4,NA,11,7,4,NA
11,263 ADELAIDE ST W,263-267 Adelaide Stret West,12 152672 STE 20 RH,10,2017-11-07,Final Staff Report,Demolition - 6 Rental Units or More,12,3,6,3,12,3,6,3
12,85 BROADWAY AVE,"85, 87, 89 and 91 Broadway Avenue and 198 Redpath Avenue",16 262583 STE 22 RH,12,2018-01-31,Final Staff Report,Demolition - 6 Rental Units or More,9,3,6,NA,9,3,6,NA
13,289 THE KINGSWAY,"291 The Kingsway and 1, 3, 5 and 7 St. Stevens Court",13 164266 WET 04 RH,2,2018-04-24,Final Staff Report,Demolition - 6 Rental Units or More,156,108,48,NA,156,108,48,NA
14,174 BROADWAY AVE,"174, 176, 178 and 180 Broadway Avenue",17 257562 NNY 25 RH,15,2018-07-23,Final Staff Report,Demolition - 6 Rental Units or More,8,NA,NA,8,8,NA,NA,8
15,90 EASTDALE AVE,2 Secord Avenue,15 226605 STE 31 RH,19,2018-07-23,Final Staff Report,Demolition - 6 Rental Units or More,22,10,12,NA,28,10,18,NA
16,65 BROADWAY AVE,55 and 65 Broadway Avenue,16 118650 STE 22 RH,12,2018-07-23,Final Staff Report,Demolition - 6 Rental Units or More,130,25,105,NA,130,25,105,NA
17,2978 DUNDAS ST W,"2978-2980 (406-408 Pacific Avenue), 2984, and 2986 Dundas Street West",16 137349 WET 13 RH,4,2018-07-23,Final Staff Report,Demolition - 6 Rental Units or More,7,4,3,NA,7,4,3,NA
18,871-873 SHEPPARD AVE W,"847, 849, 851, 853, 855, 857, 859, 861, 863, 865, 867, 869, 871 and 873 Sheppard Avenue West",17 107822 NNY 10 RH,6,2019-01-30,Final Staff Report,Demolition - 6 Rental Units or More,7,5,2,NA,7,5,2,NA
19,3636 BATHURST ST,3636 Bathurst Street,14 226863 NNY 15 RH,8,2019-01-30,Final Staff Report,Demolition - 6 Rental Units or More,6,2,4,NA,6,2,4,NA
20,4125 DUNDAS ST W,4125 & 4127-4129 Dundas Street West,16 110555 WET 05 RH,3,2019-02-26,Final Staff Report,Demolition - 6 Rental Units or More,12,9,3,NA,12,9,3,NA
21,77 CLARENDON AVE,77 Clarendon Avenue,15 202796 STE 22 RH,12,2019-02-26,Final Staff Report,Demolition - 6 Rental Units or More,10,NA,NA,10,NA,NA,NA,NA
22,545 SHERBOURNE ST,"595 Sherbourne Street and 583, 591, 599 Sherbourne St",15 206979 STE 28 RH,13,2019-03-27,Final Staff Report,Demolition - 6 Rental Units or More,24,20,4,NA,24,20,4,NA
23,170 SPADINA AVE,"3, 5 and 7 Cameron Street",16 118053 STE 20 RH,10,2019-05-14,Final Staff Report,Demolition - 6 Rental Units or More,10,4,4,2,10,4,4,2
24,470 WILSON AVE,470 and 490 Wilson Avenue,16 270452 NNY 10 RH,6,2019-05-14,Final Staff Report,Demolition - 6 Rental Units or More,110,103,7,NA,110,103,7,NA
25,327 KING ST W,321 and 325 King Street West,18 167590 STE 20 RH,10,2019-06-18,Final Staff Report,Demolition - 6 Rental Units or More,6,NA,6,NA,6,6,NA,NA
26,877 COLLEGE ST,871 College Street and 899 College Street,17 196974 STE 19 RH,9,2019-06-18,Final Staff Report,Demolition - 6 Rental Units or More,13,12,1,NA,13,12,1,NA
27,2779 YONGE ST,2779 Yonge Street and 15-17 and 19-21 Strathgowan Avenue,13 134038 NNY 25 RH,15,2019-07-16,Final Staff Report,Demolition - 6 Rental Units or More,28,6,22,NA,28,6,22,NA
28,571 DUNDAS ST W,73-75 Augusta Square,17 278611 STE 20 RH,10,2019-07-16,Final Staff Report,Demolition - 6 Rental Units or More - Social Housing,77,77,NA,NA,77,77,NA,NA
29,55 CHARLES ST E,55 and 61-63 Charles Street East,18 144572 STE 27 RH,13,2019-07-16,Final Staff Report,Demolition - 6 Rental Units or More,100,3,97,NA,100,3,97,NA
30,11 YORKVILLE AVE,"11 Yorkville Avenue, 17, 19, 21-25 Yorkville Avenue",18 135378 STE 27 RH,11,2019-07-16,Final Staff Report,Demolition - 6 Rental Units or More,81,5,76,NA,81,25,56,NA
31,700 SPADINA AVE,698 and 700 Spadina Avenue,16 240238 STE 20 RH,11,2019-07-16,Final Staff Report,Demolition - 6 Rental Units or More,6,4,2,NA,6,4,2,NA
32,75 BROADWAY AVE,75 Broadway Avenue,17 150328 STE 22 RH,12,2019-07-16,Final Staff Report,Demolition - 6 Rental Units or More,20,NA,10,10,20,NA,10,10
33,100 BROADWAY AVE,"100 Broadway Avenue, 231-233 Redpath Avenue, 227-229 Redpath Avenue, 223-225 Redpath Avenue",15 231391 NNY 25 RH,15,2019-10-02,Final Staff Report,Demolition - 6 Rental Units or More,64,10,54,NA,64,10,54,NA
34,227 REDPATH AVE,"100 Broadway Avenue, 231-233 Redpath Avenue, 227-229 Redpath Avenue, 223-225 Redpath Avenue",19 142275 NNY 15 RH,15,2019-10-02,Final Staff Report,Demolition - 6 Rental Units or More,NA,NA,NA,NA,NA,NA,NA,NA
35,117 BROADWAY AVE,117 and 127 Broadway Avenue,15 233435 STE 22 RH,12,2019-10-29,Final Staff Report,Demolition - 6 Rental Units or More,131,72,58,1,131,72,58,1
36,110 BROADWAY AVE,"110 Broadway Avenue, 120 Broadway Avenue, and 114 Broadway Avenue",17 218856 NNY 25 RH,15,2019-10-29,Final Staff Report,Demolition - 6 Rental Units or More,121,68,53,NA,121,68,53,NA
37,"1408, 1410, 1412, 1414, 1416 & 1420 BAYVIEW AVE","1408, 1410, 1412, 1414, & 1420 Bayview Avenue",19 120017 NNY 15 RH,15,2020-01-29,Final Staff Report,Demolition - 6 Rental Units or More,13,4,7,2,13,4,7,2
